,steam_id,user_name,kills,ct_kills,t_kills,headshots,wallbang_kills,assisted_flashes,ct_assisted_flashes,t_assisted_flashes,trade_kills,no_scope,through_smoke,airborne_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flashes_thrown,ct_flashes_thrown,t_flashes_thrown,flashes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,2k,3k,4k,5k,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
0,76561197967432889,MAJ3R,3,3,0,2,0,0,0,0,0,0,0,0,0,0,Eternal Fire,0,3,,1.0,0.0,3.0,2.0,203.0,203.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0,1,0,0,,,,,
1,76561198013243326,Aleksib,5,5,0,2,0,0,0,0,2,0,0,0,0,0,Natus Vincere,0,2,4.0,4.0,2.0,1.25,1.0,112.75,112.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,7.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,2,0,0,0,2.0,13.0,54.0,54.0,0.0
2,76561198045898864,chopper,4,0,4,2,0,0,0,0,1,0,1,0,0,0,Team Spirit,0,1,,2.0,1.0,2.0,2.0,86.5,0.0,86.5,1.0,0.0,1.0,3.0,0.0,3.0,,,,,,,8.0,0.0,8.0,3.0,,,,,3.0,0.0,3.0,0.0,6.0,0.0,6.0,1.0,0,0,0,0,,,,,
3,76561198050250233,iM,2,2,0,1,0,0,0,0,1,0,0,0,0,0,Natus Vincere,0,0,1.0,4.0,1.0,0.5,-2.0,43.25,43.25,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,,,,,,,,,,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,,,2.0,2.0,0.0
4,76561198081484775,SH1R0,7,0,7,3,0,0,0,0,3,0,0,0,1,0,Team Spirit,0,2,1.0,4.0,1.0,1.75,3.0,185.5,0.0,185.5,1.0,0.0,1.0,3.0,0.0,3.0,,,,,,,2.0,0.0,2.0,0.0,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,,,,,
5,76561198176878303,jL,2,2,0,1,0,0,0,0,2,0,1,0,0,0,Natus Vincere,0,1,1.0,4.0,1.0,0.5,-2.0,83.0,83.0,0.0,0.75,0.75,0.0,1.0,1.0,0.0,2.0,2.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,0,0.0,5.0,4.0,4.0,0.0
6,76561198246607476,b1t,4,4,0,1,0,1,1,0,1,0,0,0,0,1,Natus Vincere,0,3,1.0,3.0,1.0,1.3333333333333333,1.0,118.25,118.25,0.0,0.75,0.75,0.0,1.0,1.0,0.0,2.0,2.0,0.0,,,,3.0,3.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1,0,0,0,,,,,
7,76561198386265483,donk,4,0,4,2,1,0,0,0,1,0,0,0,0,0,Team Spirit,0,0,2.0,4.0,2.0,1.0,0.0,152.5,0.0,152.5,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,,,,,2.0,0.0,2.0,0.0,,,,,0,1,0,0,,,,,
8,76561198920720017,Senzu,2,0,2,1,0,0,0,0,0,0,0,0,0,0,The MongolZ,0,2,,,,,,146.0,0.0,146.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,
9,76561198959824088,bLitz,1,0,1,1,0,0,0,0,0,0,0,0,0,0,The MongolZ,0,1,,,,,,113.0,0.0,113.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,2.0,2.0,0,0,0,0,,,,,
10,76561198966340160,Techno4K,2,0,2,2,0,0,0,0,0,0,0,1,0,0,The MongolZ,0,2,1.0,1.0,0.0,2.0,1.0,217.0,0.0,217.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,
11,76561198995880877,zont1x,3,0,3,1,0,0,0,0,1,0,0,0,0,0,Team Spirit,0,2,,4.0,1.0,0.75,-1.0,62.5,0.0,62.5,0.75,0.0,0.75,3.0,0.0,3.0,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1,0,0,0,1.0,6.0,59.0,0.0,59.0
12,76561199063068840,w0nderful,6,6,0,1,1,0,0,0,2,0,0,0,0,0,Natus Vincere,3,1,1.0,4.0,2.0,1.5,2.0,191.75,191.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0,0,1,0,,,5.0,5.0,0.0
13,76561199063238565,magixx,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Team Spirit,0,0,,5.0,3.0,0.2,-4.0,28.75,0.0,28.75,0.75,0.0,0.75,3.0,0.0,3.0,,,,,,,5.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0,0,0,0,0.0,12.0,107.0,0.0,107.0
