,armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,t_team_clan_name,t_side,tick,total_rounds_played,user_X,user_Y,user_Z,user_health,user_place,user_name,user_steamid,user_team_clan_name,user_side,user_total_rounds_played,weapon
26,93,826.49475,2301.3486,136.03148,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,1.0,Natus Vincere,ct,7,10,90,generic,FaZe Clan,t,15110,1,168.03354,1131.6516,91.166336,100,Banana,frozen,76561198068422762,FaZe Clan,t,1,hegrenade
27,100,956.4687,711.96875,105.976616,100.0,Middle,karrigan,7.656119798943026e+16,FaZe Clan,t,1.0,Natus Vincere,ct,0,8,92,generic,FaZe Clan,t,15180,1,1334.2546,232.57031,138.03125,100,TopofMid,b1t,76561198246607476,Natus Vincere,ct,1,inferno
28,100,-7.640991,1348.2954,104.03125,90.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,1.0,Natus Vincere,ct,0,0,100,generic,FaZe Clan,t,15313,1,823.07916,2332.8616,136.03146,100,BombsiteB,jL,76561198176878303,Natus Vincere,ct,1,hegrenade
29,100,-7.640991,1348.2954,104.03125,90.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,1.0,Natus Vincere,ct,0,1,99,generic,FaZe Clan,t,15313,1,823.07916,2332.8616,136.03146,100,BombsiteB,jL,76561198176878303,Natus Vincere,ct,1,hegrenade
30,63,-12.004272,1351.7451,104.03124,90.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,1.0,Natus Vincere,ct,37,56,43,generic,FaZe Clan,t,15319,1,824.4938,2330.998,136.03146,99,BombsiteB,jL,76561198176878303,Natus Vincere,ct,1,hegrenade
31,98,956.47076,711.8861,105.97606,100.0,Middle,karrigan,7.656119798943026e+16,FaZe Clan,t,1.0,Natus Vincere,ct,2,3,89,generic,FaZe Clan,t,15541,1,1546.7649,114.83137,132.03125,92,TopofMid,b1t,76561198246607476,Natus Vincere,ct,1,hegrenade
58,78,35.66158,911.6532,81.022736,100.0,TRamp,frozen,7.656119806842277e+16,FaZe Clan,t,2.0,Natus Vincere,ct,19,29,71,generic,FaZe Clan,t,26066,2,515.4973,1939.6309,136.03125,100,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,hegrenade
59,78,208.08044,1393.3584,107.15139,100.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,2.0,Natus Vincere,ct,0,1,70,generic,FaZe Clan,t,26097,2,470.02103,1912.7428,136.03125,71,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,inferno
60,78,213.43018,1393.7177,108.1234,100.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,2.0,Natus Vincere,ct,0,2,68,generic,FaZe Clan,t,26110,2,444.4341,1907.9642,136.03125,70,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,inferno
61,78,238.12155,1385.1515,110.13595,100.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,2.0,Natus Vincere,ct,0,3,65,generic,FaZe Clan,t,26123,2,415.3772,1914.9517,136.03123,68,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,inferno
62,78,273.74908,1378.9987,111.87132,100.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,2.0,Natus Vincere,ct,0,4,61,generic,FaZe Clan,t,26135,2,386.74847,1923.921,136.03122,65,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,inferno
63,78,275.96848,1376.7198,111.83632,100.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,2.0,Natus Vincere,ct,0,4,57,generic,FaZe Clan,t,26148,2,373.37064,1928.0553,136.03122,61,Banana,w0nderful,76561199063068840,Natus Vincere,ct,2,inferno
81,84,926.24304,2007.9196,136.28076,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,16,25,75,generic,FaZe Clan,t,32156,3,190.47455,1259.3318,99.9919,100,Banana,frozen,76561198068422762,FaZe Clan,t,3,hegrenade
82,84,863.9686,2404.169,189.80641,100.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,1,74,generic,FaZe Clan,t,32278,3,48.52504,1379.0051,104.03124,75,Banana,frozen,76561198068422762,FaZe Clan,t,3,inferno
83,84,863.9719,2409.4634,191.34196,100.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,2,72,generic,FaZe Clan,t,32291,3,77.63934,1396.8655,102.925896,74,Banana,frozen,76561198068422762,FaZe Clan,t,3,inferno
84,84,863.9751,2416.7473,159.86969,100.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,3,69,generic,FaZe Clan,t,32304,3,100.939964,1428.2885,103.13258,72,Banana,frozen,76561198068422762,FaZe Clan,t,3,inferno
85,84,863.9754,2427.2952,140.0843,100.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,4,65,generic,FaZe Clan,t,32316,3,119.878716,1462.2885,103.59334,69,Banana,frozen,76561198068422762,FaZe Clan,t,3,inferno
86,76,817.469,2462.9214,136.03146,100.0,BombsiteB,iM,7.656119805025024e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,8,13,52,generic,FaZe Clan,t,32734,3,277.17612,1576.8622,122.588486,65,Banana,frozen,76561198068422762,FaZe Clan,t,3,hegrenade
90,100,-22.899048,879.11584,80.03125,100.0,TRamp,karrigan,7.656119798943026e+16,FaZe Clan,t,3.0,Natus Vincere,ct,0,1,99,generic,FaZe Clan,t,32875,3,394.39413,1986.812,136.03122,100,Banana,jL,76561198176878303,Natus Vincere,ct,3,inferno
91,100,-41.022278,889.6249,78.597565,100.0,TRamp,karrigan,7.656119798943026e+16,FaZe Clan,t,3.0,Natus Vincere,ct,0,2,97,generic,FaZe Clan,t,32888,3,400.39325,1985.0189,136.03122,99,Banana,jL,76561198176878303,Natus Vincere,ct,3,inferno
92,100,-59.158752,912.6511,74.24723,100.0,TRamp,karrigan,7.656119798943026e+16,FaZe Clan,t,3.0,Natus Vincere,ct,0,3,94,generic,FaZe Clan,t,32901,3,404.59494,1978.5062,136.03123,97,Banana,jL,76561198176878303,Natus Vincere,ct,3,inferno
93,100,423.67413,1762.0472,134.03122,94.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,8,92,generic,FaZe Clan,t,33063,3,67.44061,1262.0748,96.77915,100,Banana,karrigan,76561197989430253,FaZe Clan,t,3,inferno
94,100,423.67413,1762.0472,134.03122,94.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,8,84,generic,FaZe Clan,t,33075,3,66.669945,1299.088,98.39912,92,Banana,karrigan,76561197989430253,FaZe Clan,t,3,inferno
95,100,423.67413,1762.0472,134.03122,94.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,8,76,generic,FaZe Clan,t,33088,3,66.48749,1336.4174,100.33406,84,Banana,karrigan,76561197989430253,FaZe Clan,t,3,inferno
96,100,423.67413,1762.0472,134.03122,94.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,0,8,68,generic,FaZe Clan,t,33101,3,78.64788,1377.0669,101.95754,76,Banana,karrigan,76561197989430253,FaZe Clan,t,3,inferno
98,64,868.8561,2183.755,136.36627,100.0,Banana,Aleksib,7.656119801324333e+16,Natus Vincere,ct,3.0,Natus Vincere,ct,32,49,0,generic,FaZe Clan,t,33634,3,423.7483,1761.9598,134.03122,40,Banana,karrigan,76561197989430253,FaZe Clan,t,3,hegrenade
114,0,816.2849,2524.6062,136.03146,100.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,2,98,generic,FaZe Clan,t,45161,4,173.96722,1016.2146,85.561714,100,Banana,frozen,76561198068422762,FaZe Clan,t,4,hegrenade
115,0,2530.5332,-98.525635,96.66715,100.0,Pit,b1t,7.656119824660747e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,1,99,generic,FaZe Clan,t,46046,4,1277.8604,564.04193,125.03125,100,Middle,rain,76561197997351207,FaZe Clan,t,4,hegrenade
116,0,1.0299629,2673.828,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,1,97,generic,FaZe Clan,t,46651,4,655.86206,2486.8635,189.03125,98,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
117,0,1.0313703,2643.7334,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,2,95,generic,FaZe Clan,t,46664,4,647.1868,2486.3203,189.03125,97,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
118,0,1.0291644,2602.927,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,3,92,generic,FaZe Clan,t,46677,4,647.2076,2469.2285,189.03125,95,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
120,0,1.1506908,2562.6453,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,88,generic,FaZe Clan,t,46689,4,655.1418,2439.0312,189.03125,92,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
122,0,1.5180379,2531.5173,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,84,generic,FaZe Clan,t,46702,4,663.80096,2439.373,182.21582,88,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
125,0,1.4269322,2530.8787,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,5,79,generic,FaZe Clan,t,46715,4,672.6059,2439.3699,144.94386,84,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
126,0,2.9037652,2508.1465,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,92,generic,FaZe Clan,t,46933,4,662.54126,2463.8381,187.1344,100,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
127,0,2.2642245,2511.9546,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,84,generic,FaZe Clan,t,46958,4,640.03064,2444.1199,189.03125,92,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
128,0,2.017143,2514.4136,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,76,generic,FaZe Clan,t,46971,4,640.031,2439.0312,189.03125,84,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
129,87,446.48395,2448.5244,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,2,98,generic,FaZe Clan,t,47004,4,862.99023,2599.8047,140.0843,100,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
130,87,430.69528,2447.8057,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,3,95,generic,FaZe Clan,t,47017,4,862.915,2605.7083,140.0843,98,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
131,0,430.69528,2447.8057,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,3,76,generic,FaZe Clan,t,47017,4,830.11615,2536.206,140.0843,79,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
132,87,447.06598,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,91,generic,FaZe Clan,t,47029,4,863.51294,2600.6729,140.0843,95,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
133,0,447.06598,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,72,generic,FaZe Clan,t,47029,4,834.32776,2568.6416,140.0843,76,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
134,87,479.7967,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,87,generic,FaZe Clan,t,47042,4,862.4584,2617.111,140.0843,91,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
135,0,479.7967,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,68,generic,FaZe Clan,t,47042,4,837.3999,2552.0234,140.0843,72,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
136,87,495.7122,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,5,82,generic,FaZe Clan,t,47055,4,863.4449,2651.5261,140.0843,87,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
139,0,471.5292,2442.3672,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,6,70,generic,FaZe Clan,t,47068,4,646.07416,2495.392,189.03125,76,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
140,81,471.5292,2442.3672,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,6,24,generic,FaZe Clan,t,47068,4,867.0536,2659.227,140.0843,30,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
142,0,436.99713,2443.8591,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,7,63,generic,FaZe Clan,t,47081,4,652.332,2517.9153,189.03125,70,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
143,0,436.99713,2443.8591,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,7,61,generic,FaZe Clan,t,47081,4,863.9711,2561.9346,140.0843,68,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
144,0,430.85794,2439.876,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,55,generic,FaZe Clan,t,47093,4,653.7525,2521.7908,189.03125,63,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
145,0,430.85794,2439.876,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,53,generic,FaZe Clan,t,47093,4,863.44324,2603.7805,140.0843,61,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
146,0,451.02045,2442.2515,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,47,generic,FaZe Clan,t,47106,4,649.8798,2523.8518,189.03125,55,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
147,0,451.02045,2442.2515,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,45,generic,FaZe Clan,t,47106,4,860.6462,2643.3154,140.0843,53,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
150,0,485.9476,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,39,generic,FaZe Clan,t,47119,4,646.9667,2544.556,189.03125,47,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
151,0,485.9476,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,37,generic,FaZe Clan,t,47119,4,858.06415,2663.87,140.0843,45,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
153,0,493.34018,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,31,generic,FaZe Clan,t,47132,4,630.5149,2551.9243,202.68596,39,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
154,0,493.34018,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,29,generic,FaZe Clan,t,47132,4,861.82104,2638.676,140.0843,37,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
157,0,477.5146,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,21,generic,FaZe Clan,t,47145,4,865.88574,2604.536,140.0843,29,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
158,0,480.71982,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,13,generic,FaZe Clan,t,47157,4,858.0577,2612.1167,140.0843,21,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
167,100,297.64166,-250.37695,99.03126,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,4,96,generic,FaZe Clan,t,49750,5,1235.961,28.06983,266.36847,100,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
168,100,317.53894,-280.42963,97.03124,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,4,92,generic,FaZe Clan,t,49763,5,1209.7538,21.958176,303.94693,96,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
169,100,293.5993,-275.3985,99.03125,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,5,87,generic,FaZe Clan,t,49776,5,1191.0771,39.260082,308.5176,92,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
170,98,1209.2863,303.93613,128.03125,87.0,Apartments,b1t,7.656119824660747e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,2,4,96,generic,FaZe Clan,t,50076,5,953.9683,156.51904,162.03125,100,SecondMid,rain,76561197997351207,FaZe Clan,t,5,hegrenade
176,100,2289.1543,-69.46326,111.57024,100.0,BombsiteA,w0nderful,7.656119906306883e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,0,7,93,generic,FaZe Clan,t,55598,5,1466.514,179.1354,177.41623,100,TopofMid,karrigan,76561197989430253,FaZe Clan,t,5,inferno
177,100,2291.343,-60.6109,112.575775,100.0,BombsiteA,w0nderful,7.656119906306883e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,0,8,85,generic,FaZe Clan,t,55610,5,1474.8134,131.89384,180.60977,93,TopofMid,karrigan,76561197989430253,FaZe Clan,t,5,inferno
189,77,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,20,30,70,generic,FaZe Clan,t,64136,6,199.24419,1298.8086,102.42842,100,Banana,karrigan,76561197989430253,FaZe Clan,t,6,hegrenade
190,92,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,8,13,87,generic,FaZe Clan,t,64136,6,134.561,1227.3693,93.325424,100,Banana,frozen,76561198068422762,FaZe Clan,t,6,hegrenade
191,100,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,0,0,100,generic,FaZe Clan,t,64136,6,155.5997,1081.418,88.29608,100,Banana,broky,76561198201620490,FaZe Clan,t,6,hegrenade
193,100,785.7946,2303.6868,136.03146,100.0,Banana,w0nderful,7.656119906306883e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,0,0,100,generic,FaZe Clan,t,64279,6,81.802895,1312.7743,98.10714,100,Banana,broky,76561198201620490,FaZe Clan,t,6,molotov
